"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1711","Check displaying of empty courses list","LMS system","2026-08-03","passed","2026-08-03","Courses","Courses","",""
"","1298","User login with wrong email or password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","3597","Edit course","LMS system","2026-08-03","passed","2026-08-03","Courses","Courses","",""
"","4866","Edit course","LMS system","2026-08-03","passed","2026-08-03","Courses","Courses","",""
"","1558","User login with wrong email or password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","8421","User login with correct email and password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","2212","Registration with correct email, username and password","LMS system","2026-08-03","passed","2026-08-03","Registration","Authentication","",""
"","2909","Create course","LMS system","2026-08-03","passed","2026-08-03","Courses","Courses","",""
"","1895","User login with wrong email or password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","1322","User login with wrong email or password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","1727","Navigation from login page to registration page","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","1581","Check displaying of dashboard page","LMS system","2026-08-03","passed","2026-08-03","Dashboard","Dashboard","",""
"","1201","Check displaying of empty courses list","LMS system","2026-08-03","passed","2026-08-03","Courses","Courses","",""
"","1380","User login with wrong email or password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","2695","Create course","LMS system","2026-08-03","passed","2026-08-03","Courses","Courses","",""
"","3505","User login with correct email and password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","1674","Registration with correct email, username and password","LMS system","2026-08-03","passed","2026-08-03","Registration","Authentication","",""
"","1183","Navigation from login page to registration page","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","2017","User login with wrong email or password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","1849","Check displaying of dashboard page","LMS system","2026-08-03","passed","2026-08-03","Dashboard","Dashboard","",""
